month,company,company_code,mine,ministry_owned_company,region,region_code,mark,extraction_fact,extraction_plan,ash_percent_fact,ash_percent_plan
05.2019,ДП Львiввугiлля,32323256,ш.Лiсова,1,Львiвська область,4600000000,Г(Г2),14240.0,10000.0,32.868679775280896,35.0
05.2019,ДП Львiввугiлля,32323256,ш.Червоноградська,1,Львiвська область,4600000000,ГЖ,20372.0,18100.0,50.857942273709014,50.5
05.2019,ДП Львiввугiлля,32323256,ш.Степова,1,Львiвська область,4600000000,Г(Г2),17730.0,14500.0,50.499379582628315,36.20000076293945
05.2019,ПАТ ш.Надiя,00178175,ПАТ ш.Надiя,1,Львiвська область,4600000000,ГЖ,8800.0,11300.0,33.0,32.0
05.2019,ДП Волиньвугiлля,32365965,ш.Бужанська,1,Волинська область,0700000000,ДГ,720.0,13300.0,54.0,47.29999923706055
05.2019,ДП Волиньвугiлля,32365965,ш.N 9 Нововолинська,1,Волинська область,0700000000,ДГ,4615.0,4300.0,28.8,28.799999237060547
04.2019,ДП ш/у Пiвденнодонбаське1,34032208,ДП ш/у Пiвденнодонбаське1,1,Донецька область,1400000000,ДГ,34900.0,34000.0,45.79999923706055,48.0
04.2019,"ДП ""Шахта ім.М.С.Сургая """,40695853,"ДП ""Шахта ім.М.С.Сургая """,1,Донецька область,1400000000,Г(Г2),42490.0,30000.0,32.900001525878906,33.400001525878906
04.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Родинська""",1,Донецька область,1400000000,ГЖП,120.0,0.0,25.0,
04.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,ГЖП,550.0,2000.0,33.900001525878906,34.5
04.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Капітальна""",1,Донецька область,1400000000,ГЖП,43000.0,40000.0,49.099998474121094,47.599998474121094
04.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""5/6"" ",1,Донецька область,1400000000,Г(Г2),3000.0,3000.0,30.0,35.099998474121094
04.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Курахiвська""",1,Донецька область,1400000000,ДГ,1640.0,12000.0,23.5,46.599998474121094
04.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта 1-3 ""Новогродiвська""",1,Донецька область,1400000000,Г(Г2),2300.0,1000.0,24.0,37.400001525878906
04.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Котляревська""",1,Донецька область,1400000000,Г(Г1),1160.0,1000.0,32.20000076293945,44.20000076293945
04.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Україна""",1,Донецька область,1400000000,ДГ,9370.0,9000.0,43.099998474121094,43.20000076293945
04.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,Ж,12100.0,14000.0,38.5,36.5
04.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Торецька""",1,Донецька область,1400000000,Ж,6721.0,6000.0,32.5,34.79999923706055
04.2019,ДП Первомайськвугiлля,32320594,ш.Тошкiвська,1,Луганська область,4400000000,ДГ,3000.0,3000.0,17.899999618530273,24.0
04.2019,ДП Первомайськвугiлля,32320594,ш.Гiрська,1,Луганська область,4400000000,Г(Г2),6350.0,14000.0,48.20000076293945,44.5
04.2019,ДП Первомайськвугiлля,32320594,ш.Золоте,1,Луганська область,4400000000,Г(Г1),100.0,1500.0,35.79999923706055,41.0
04.2019,ДП Первомайськвугiлля,32320594,ш.Карбонiт,1,Луганська область,4400000000,Г(Г2),2300.0,6000.0,18.799999237060547,25.100000381469727
04.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Г.Г.Капустiна,1,Луганська область,4400000000,ДГ,2500.0,2000.0,28.299999237060547,28.299999237060547
04.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Привільняньска,1,Луганська область,4400000000,ДГ,1100.0,1300.0,51.099998474121094,46.20000076293945
04.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Новодружеська,1,Луганська область,4400000000,ДГ,600.0,1000.0,29.100000381469727,32.79999923706055
04.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Д.Ф.Мельникова,1,Луганська область,4400000000,ДГ,18510.0,15000.0,53.099998474121094,46.29999923706055
04.2019,ДП Львiввугiлля,32323256,ш.Великомостiвська,1,Львiвська область,4600000000,Г(Г2),10863.0,17500.0,54.20000076293945,44.900001525878906
04.2019,ДП Львiввугiлля,32323256,ш.Межирiчанська,1,Львiвська область,4600000000,Г(Г2),12411.0,10000.0,47.5,51.29999923706055
04.2019,ДП Львiввугiлля,32323256,ш.Вiдродження,1,Львiвська область,4600000000,Г(Г2),18000.0,15100.0,54.5,51.29999923706055
04.2019,ДП Львiввугiлля,32323256,ш.Лiсова,1,Львiвська область,4600000000,Г(Г2),17550.0,8800.0,32.20000076293945,35.0
04.2019,ДП Львiввугiлля,32323256,ш.Червоноградська,1,Львiвська область,4600000000,ГЖ,20400.0,18100.0,50.5,50.5
04.2019,ДП Львiввугiлля,32323256,ш.Степова,1,Львiвська область,4600000000,Г(Г2),23150.0,19500.0,50.20000076293945,36.20000076293945
04.2019,ПАТ ш.Надiя,00178175,ПАТ ш.Надiя,1,Львiвська область,4600000000,ГЖ,8000.0,11300.0,33.29999923706055,32.0
04.2019,ДП Волиньвугiлля,32365965,ш.Бужанська,1,Волинська область,0700000000,ДГ,521.0,13400.0,54.20000076293945,47.29999923706055
04.2019,ДП Волиньвугiлля,32365965,ш.N 9 Нововолинська,1,Волинська область,0700000000,ДГ,4510.0,4100.0,28.799999237060547,28.799999237060547
03.2019,ДП ш/у Пiвденнодонбаське1,34032208,ДП ш/у Пiвденнодонбаське1,1,Донецька область,1400000000,ДГ,36839.0,30000.0,42.70847198035676,48.0
03.2019,"ДП ""Шахта ім.М.С.Сургая """,40695853,"ДП ""Шахта ім.М.С.Сургая """,1,Донецька область,1400000000,Г(Г2),25840.0,33000.0,32.40085162614521,33.400001525878906
